"CVE_OOAD_PROBLEMATICA","NOM_RESPONSABLE","DES_OTRO","CVE_OOAD","CVE_PROBLEMATICA","CVE_NIVEL","FEC_EXPIRA","FEC_ALTA","FEC_ACTUALIZACION","FEC_BAJA"
1,DIDT,,1,1,6,"2021-12-31","2021-01-01","2021-05-11","9999-12-31"
2,DIDT,"",1,2,6,"2021-12-31","2021-01-01","2021-05-02","9999-12-31"
3,DA y DIDT,,1,3,6,"2021-12-31","2021-01-01","2021-05-02","9999-12-31"
4,DIDT,,1,4,4,"2021-12-31","2021-01-01","2021-05-02","9999-12-31"
5,DA,,1,5,3,"2021-12-31","2021-01-01","2021-05-02","9999-12-31"
6,DA,,1,6,5,"2021-12-31","2021-01-01","2021-05-02","9999-12-31"
7,DIDT,,1,7,3,"2021-12-31","2021-01-01","2021-05-02","9999-12-31"
8,DIDT,,1,8,3,"2021-12-31","2021-01-01","2021-05-02","9999-12-31"
9,DIDT,,1,9,3,"2021-12-31","2021-01-01","2021-05-02","9999-12-31"
10,DA-DIDT,,1,10,4,"2021-12-31","2021-01-01","2021-05-02","9999-12-31"
